EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
259172710,259172819,15FEB2023:00:00:00,4223,73428,36829,-122.5328,45.489642,12,0.9
259172710,259172819,15FEB2023:00:00:00,4223,73464,36834,-122.532343,45.489645,12,0.7
259172710,259172819,15FEB2023:00:00:00,4223,73500,36839,-122.531872,45.489647,12,0.7
259172710,259172820,15FEB2023:00:00:00,4223,73542,36844,-122.531328,45.489642,12,0.7
259172710,259172820,15FEB2023:00:00:00,4223,73589,36849,-122.530722,45.48964,12,0.8
259172710,259172820,15FEB2023:00:00:00,4223,73637,36854,-122.530108,45.489647,12,0.7
259172710,259172820,15FEB2023:00:00:00,4223,73683,36859,-122.529508,45.489652,12,0.7
259172710,259172821,15FEB2023:00:00:00,4223,73730,36864,-122.528902,45.489657,12,0.7
259172710,259172821,15FEB2023:00:00:00,4223,73779,36869,-122.528263,45.489657,12,0.7
259172710,259172821,15FEB2023:00:00:00,4223,73829,36874,-122.52762,45.489655,12,0.8
259172710,259172821,15FEB2023:00:00:00,4223,73866,36879,-122.527135,45.48963,12,0.8
259172710,259172821,15FEB2023:00:00:00,4223,73883,36884,-122.526902,45.489628,12,0.7
259172823,259172824,15FEB2023:00:00:00,4223,73932,39318,-122.526278,45.489655,12,0.8
259172823,259172824,15FEB2023:00:00:00,4223,73974,39323,-122.525725,45.489652,12,0.6
259172823,259172824,15FEB2023:00:00:00,4223,74022,39328,-122.525137,45.489532,12,0.6
259172823,259172824,15FEB2023:00:00:00,4223,74075,39333,-122.5247,45.489173,12,0.8
259172823,259172824,15FEB2023:00:00:00,4223,74122,39338,-122.52431,45.488837,12,0.7
259172823,259172825,15FEB2023:00:00:00,4223,74157,39343,-122.523902,45.488697,12,0.7
259172823,259172825,15FEB2023:00:00:00,4223,74167,39348,-122.523768,45.488678,12,0.6
259172823,259172825,15FEB2023:00:00:00,4223,74186,39353,-122.523545,45.488747,12,0.8
259172823,259172825,15FEB2023:00:00:00,4223,74220,39358,-122.52353,45.48904,12,0.6
259172823,259172825,15FEB2023:00:00:00,4223,74273,39363,-122.52354,45.489515,12,0.7
259172823,259172825,15FEB2023:00:00:00,4223,74338,39368,-122.523545,45.490108,12,0.7
259172823,259172825,15FEB2023:00:00:00,4223,74402,39373,-122.52355,45.490693,12,0.6
259172823,259172826,15FEB2023:00:00:00,4223,74467,39378,-122.523562,45.491285,12,0.8
259172823,259172826,15FEB2023:00:00:00,4223,74533,39383,-122.523573,45.491885,12,0.7
259172823,259172826,15FEB2023:00:00:00,4223,74596,39388,-122.523585,45.492457,12,0.7
259172823,259172826,15FEB2023:00:00:00,4223,74657,39393,-122.523585,45.493012,12,0.7
259172823,259172826,15FEB2023:00:00:00,4223,74717,39398,-122.523585,45.49356,12,0.6
259172823,259172826,15FEB2023:00:00:00,4223,74781,39403,-122.523582,45.494143,12,0.7
259172823,259172827,15FEB2023:00:00:00,4223,74845,39408,-122.523582,45.49472,12,0.7
259172823,259172827,15FEB2023:00:00:00,4223,74903,39413,-122.523582,45.495242,12,0.6
259172823,259172827,15FEB2023:00:00:00,4223,74952,39418,-122.523583,45.495698,12,0.6
259172823,259172864,15FEB2023:00:00:00,4223,83915,41022,-122.626298,45.49031,12,0.8
259172823,259172865,15FEB2023:00:00:00,4223,83974,41027,-122.62707,45.49031,12,0.7
259172823,259172865,15FEB2023:00:00:00,4223,84035,41032,-122.627855,45.490308,12,0.8
259172823,259172865,15FEB2023:00:00:00,4223,84093,41037,-122.6286,45.490308,12,0.7
259172823,259172865,15FEB2023:00:00:00,4223,84136,41042,-122.629157,45.490322,12,0.7
259172823,259172866,15FEB2023:00:00:00,4223,84158,41062,-122.62943,45.490323,12,0.9
259172823,259172866,15FEB2023:00:00:00,4223,84198,41067,-122.62995,45.490342,11,0.8
259172823,259172866,15FEB2023:00:00:00,4223,84246,41072,-122.63051,45.49054,12,0.7
259172823,259172866,15FEB2023:00:00:00,4223,84297,41077,-122.631157,45.490622,12,0.7
259172823,259172866,15FEB2023:00:00:00,4223,84349,41082,-122.631823,45.490615,12,0.7
259172823,259172866,15FEB2023:00:00:00,4223,84395,41087,-122.632422,45.490622,12,0.7
259172823,259172867,15FEB2023:00:00:00,4223,84442,41092,-122.633018,45.490627,11,0.8
259172823,259172867,15FEB2023:00:00:00,4223,84487,41097,-122.633602,45.490622,12,0.7
259172823,259172867,15FEB2023:00:00:00,4223,84529,41102,-122.634122,45.490507,12,0.7
259172823,259172867,15FEB2023:00:00:00,4223,84578,41107,-122.63471,45.490355,12,0.8
259172823,259172867,15FEB2023:00:00:00,4223,84630,41112,-122.635372,45.490343,12,0.8
259172823,259172867,15FEB2023:00:00:00,4223,84681,41117,-122.636035,45.490343,12,0.7
259172823,259172867,15FEB2023:00:00:00,4223,84729,41122,-122.63666,45.490345,12,0.8
259172823,259172867,15FEB2023:00:00:00,4223,84757,41127,-122.637033,45.490352,12,0.8
259172823,259172868,15FEB2023:00:00:00,4223,84814,41172,-122.63775,45.490335,12,0.7
259172823,259172868,15FEB2023:00:00:00,4223,84862,41177,-122.638368,45.490338,12,0.8
259172823,259172868,15FEB2023:00:00:00,4223,84901,41182,-122.638892,45.490338,12,0.7
259172823,259172868,15FEB2023:00:00:00,4223,84918,41187,-122.639118,45.49034,12,0.7
